class,cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,has_odor
e,b,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,b,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,1
e,f,s,n,f,n,w,b,k,t,e,s,s,w,w,w,o,e,k,a,g,0
e,x,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,1
e,f,y,y,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g,1
e,x,y,y,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,1
e,x,f,g,f,n,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,0
e,f,f,y,t,l,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,1
e,b,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,f,y,t,l,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,y,n,t,a,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,1
e,b,s,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,1
e,f,s,y,t,l,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,s,w,t,l,w,n,n,t,b,s,s,w,w,w,o,p,u,v,d,1
e,f,y,n,t,l,c,b,p,e,r,s,y,w,w,w,o,p,n,y,p,1
p,x,y,n,t,p,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u,1
e,f,y,n,t,a,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g,1
e,x,s,n,f,n,w,b,k,t,e,f,s,w,w,w,o,e,n,s,g,0
p,x,y,w,t,p,c,n,w,e,e,s,s,w,w,w,o,p,k,s,g,1
e,f,f,g,f,n,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,0
e,x,f,g,f,n,w,b,n,t,e,s,s,w,w,w,o,e,n,s,g,0
e,x,y,y,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,1
e,x,s,n,f,n,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g,0
e,b,s,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,1
e,f,y,n,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,1
e,s,f,n,f,n,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u,0
e,x,f,n,f,n,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,0
e,b,s,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,s,n,f,n,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g,0
e,x,s,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,1
e,f,y,n,t,l,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,1
e,x,s,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,1
e,b,s,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,f,n,f,n,w,b,p,t,e,f,s,w,w,w,o,e,k,s,g,0
e,b,s,y,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,1
e,f,y,y,t,l,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g,1
e,x,y,y,t,a,c,b,n,e,r,s,y,w,w,w,o,p,k,y,p,1
e,b,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,y,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,y,y,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,y,g,1
e,b,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,x,s,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,s,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,1
e,s,f,g,f,n,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u,0
e,x,f,w,t,a,w,n,w,t,b,s,s,w,w,w,o,p,u,v,d,1
e,x,s,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,1
p,x,y,w,t,p,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u,1
e,x,y,y,t,l,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,1
e,s,f,g,f,n,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u,0
e,x,y,y,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,1
e,x,s,y,t,l,w,n,p,t,b,s,s,w,w,w,o,p,u,v,d,1
e,s,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,n,y,u,0
p,x,s,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,k,v,g,1
e,x,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
p,f,y,n,t,p,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g,1
e,f,s,g,f,n,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g,0
e,x,s,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,x,s,w,f,n,w,b,n,t,e,s,f,w,w,w,o,e,k,s,g,0
e,b,s,y,t,a,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,1
e,f,f,g,f,n,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g,0
e,x,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,1
e,b,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,1
e,b,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,b,y,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,s,w,t,l,w,n,w,t,b,s,s,w,w,w,o,p,u,v,d,1
e,x,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,1
e,f,s,w,t,a,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,1
p,x,y,w,t,p,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u,1
e,f,f,w,t,l,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,y,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,1
p,x,s,n,t,p,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g,1
e,b,s,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,y,n,t,a,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,1
e,b,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,1
e,s,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,0
e,f,y,n,t,a,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,1
e,x,y,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g,1
e,x,f,g,f,n,w,b,k,t,e,f,f,w,w,w,o,e,k,s,g,0
e,f,f,w,f,n,w,b,k,t,e,s,f,w,w,w,o,e,n,a,g,0
e,x,y,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,1
e,b,s,y,t,l,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g,1
e,b,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,y,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,s,n,f,n,w,b,p,t,e,f,s,w,w,w,o,e,n,a,g,0
e,x,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,1
e,s,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u,0
e,x,s,w,t,a,w,n,w,t,b,s,s,w,w,w,o,p,u,v,d,1
e,x,y,n,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,1
e,b,y,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,y,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,1
e,b,y,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,s,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,b,s,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g,1
e,x,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,n,y,u,0
e,f,y,n,t,l,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g,1
e,x,y,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,1
e,f,y,y,t,l,c,b,w,e,r,s,y,w,w,w,o,p,n,y,p,1
e,b,s,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,b,s,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,s,m,1
e,x,y,n,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g,1
e,b,s,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,f,g,f,n,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,0
e,b,s,y,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,f,y,t,l,w,n,n,t,b,s,s,w,w,w,o,p,u,v,d,1
e,b,y,y,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,f,y,y,t,l,c,b,p,e,r,s,y,w,w,w,o,p,n,s,g,1
e,b,y,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,n,m,1
e,b,y,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,n,m,1
e,b,y,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,b,s,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,1
p,x,y,w,t,p,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,1
e,s,f,n,f,n,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,0
e,f,f,n,f,n,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u,0
e,x,s,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,y,n,t,a,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,1
p,x,y,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,k,s,g,1
e,b,s,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,f,g,f,n,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u,0
e,b,y,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,y,n,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,y,p,1
e,x,f,w,f,n,w,b,p,t,e,s,f,w,w,w,o,e,k,s,g,0
e,x,s,w,t,l,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,b,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,s,y,t,a,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,s,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,f,g,f,n,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u,0
e,b,s,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,x,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,s,w,t,a,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,y,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,b,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,n,g,1
e,x,f,w,f,n,w,b,h,t,e,f,s,w,w,w,o,e,k,s,g,0
e,f,y,n,t,l,c,b,n,e,r,s,y,w,w,w,o,p,k,y,p,1
p,x,s,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,1
e,b,s,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,1
e,b,s,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,1
e,b,y,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g,1
e,x,s,y,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,b,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,f,y,t,a,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,f,g,f,n,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u,0
e,f,y,y,t,a,c,b,n,e,r,s,y,w,w,w,o,p,n,s,g,1
e,b,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,1
e,x,s,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,s,f,g,f,n,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,0
e,x,s,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m,1
p,x,s,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,k,s,g,1
e,x,y,y,t,a,c,b,n,e,r,s,y,w,w,w,o,p,n,s,g,1
e,f,f,w,t,a,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m,1
e,b,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,s,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,g,1
p,x,y,n,t,p,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u,1
e,b,s,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,f,g,f,n,c,n,n,e,e,s,s,w,w,w,o,p,k,y,u,0
p,x,y,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,k,s,u,1
e,x,y,y,t,l,c,b,n,e,r,s,y,w,w,w,o,p,n,y,p,1
e,f,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u,0
e,b,s,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,f,w,t,l,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,x,y,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,b,y,y,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,y,y,t,l,c,b,n,e,r,s,y,w,w,w,o,p,k,s,g,1
e,f,y,y,t,a,c,b,p,e,r,s,y,w,w,w,o,p,k,s,p,1
e,f,y,y,t,a,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,1
e,x,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,1
p,x,s,w,t,p,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u,1
e,f,f,w,t,a,w,n,p,t,b,s,s,w,w,w,o,p,u,v,d,1
e,x,s,w,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,s,w,t,l,w,n,p,t,b,s,s,w,w,w,o,p,u,v,d,1
e,x,y,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,1
e,f,y,y,t,l,c,b,w,e,r,s,y,w,w,w,o,p,k,y,p,1
e,x,s,n,f,n,w,b,p,t,e,f,s,w,w,w,o,e,k,s,g,0
e,f,y,y,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,y,g,1
p,x,s,n,t,p,c,n,p,e,e,s,s,w,w,w,o,p,n,s,g,1
e,s,f,n,f,n,c,n,g,e,e,s,s,w,w,w,o,p,n,v,u,0
e,b,y,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,n,s,m,1
e,b,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,1
e,b,y,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,f,n,f,n,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,0
e,x,s,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,n,m,1
e,b,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,n,g,1
e,b,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,y,n,t,l,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g,1
p,x,y,w,t,p,c,n,k,e,e,s,s,w,w,w,o,p,k,v,g,1
e,x,s,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g,1
e,x,y,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,1
e,f,f,w,t,l,w,n,w,t,b,s,s,w,w,w,o,p,u,v,d,1
e,f,f,g,f,n,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u,0
e,f,s,g,f,n,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g,0
e,x,y,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,s,m,1
e,b,s,w,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,s,m,1
p,f,y,n,t,p,c,n,w,e,e,s,s,w,w,w,o,p,k,s,u,1
e,x,s,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,1
p,f,s,n,t,p,c,n,w,e,e,s,s,w,w,w,o,p,k,v,u,1
e,x,y,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,y,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,y,y,t,a,c,b,n,e,r,s,y,w,w,w,o,p,n,s,p,1
e,x,y,n,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,s,p,1
e,f,y,n,t,a,c,b,w,e,r,s,y,w,w,w,o,p,n,y,g,1
e,x,y,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,f,n,f,n,w,b,h,t,e,s,s,w,w,w,o,e,k,s,g,0
e,x,s,y,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,1
p,x,y,w,t,p,c,n,w,e,e,s,s,w,w,w,o,p,n,s,g,1
e,b,y,y,t,a,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m,1
e,s,f,n,f,n,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u,0
e,x,s,y,t,l,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,w,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,n,m,1
e,f,y,n,t,a,c,b,n,e,r,s,y,w,w,w,o,p,k,s,g,1
e,b,y,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,n,t,l,c,b,n,e,r,s,y,w,w,w,o,p,n,y,p,1
e,f,f,g,f,n,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u,0
e,x,f,g,f,n,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u,0
e,b,y,y,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,y,t,l,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,y,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,s,g,1
e,x,s,w,t,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,1
e,b,s,y,t,a,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,x,s,y,t,a,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,1
e,x,f,g,f,n,w,b,p,t,e,f,f,w,w,w,o,e,k,s,g,0
e,f,s,y,t,a,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,1
p,x,y,w,t,p,c,n,p,e,e,s,s,w,w,w,o,p,k,s,g,1
e,x,f,w,f,n,w,b,k,t,e,f,s,w,w,w,o,e,k,a,g,0
e,b,y,w,t,a,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,s,y,t,l,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d,1
e,b,y,w,t,a,c,b,n,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,y,w,t,l,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g,1
e,x,f,n,t,n,c,b,p,t,b,s,s,g,p,w,o,p,n,y,d,0
e,b,y,w,t,l,c,b,k,e,c,s,s,w,w,w,o,p,n,s,m,1
e,x,s,y,t,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,1
e,f,y,n,t,a,c,b,p,e,r,s,y,w,w,w,o,p,k,y,g,1
e,x,f,w,f,n,w,b,n,t,e,s,s,w,w,w,o,e,n,s,g,0
e,x,s,y,t,l,c,b,w,e,c,s,s,w,w,w,o,p,k,s,g,1
p,x,y,w,t,p,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g,1
